#{"t_start": 1646005197.5494184, "env_id": null}
r,l,t
-94.2,341,23186.757288
-6.8,260,23203.10328
-82.1,289,23220.854238
-274.3,336,23240.043241
-132.7,314,23258.173237
-54.6,308,23275.265494
-365.4,402,23298.707009
-18.0,262,23315.348351
-144.8,359,23337.649424
-139.1,320,23356.121266
-154.2,390,23378.526579
-190.7,295,23396.283214
-198.5,324,23414.357668
-341.6,356,23435.395211
-253.6,277,23452.669434
-175.8,369,23475.10096
-38.6,284,23491.445014
-94.6,291,23509.466071
-358.1,359,23529.726528
-310.0,428,23556.805873
-103.4,318,23575.463866
-90.7,310,23593.194191
-334.3,347,23612.517155
11.5,279,23629.884743
-56.5,309,23648.485663
-96.4,298,23665.976328
-84.7,316,23683.149445
-221.3,377,23705.73274
-37.6,307,23724.245082
-46.9,272,23740.698068
-283.3,395,23764.796881
-62.9,328,23782.854037
-253.5,375,23805.398064
-126.7,290,23822.812155
-334.2,349,23842.283983
-244.6,323,23861.167421
-66.0,275,23877.643454
-57.7,303,23896.982892
-136.5,266,23913.388481
-11.8,332,23932.105126
-49.1,312,23950.877051
-249.8,381,23973.91994
-192.7,340,23996.012866
-230.0,353,24015.156364
-227.4,346,24036.407845
-47.3,326,24055.500906
-41.3,280,24073.015833
-242.8,327,24091.342866
-26.3,278,24107.770149
-52.6,299,24125.004834
-115.7,314,24143.110816
-137.2,337,24162.202801
-129.0,296,24180.271858
-43.9,278,24197.737815
-57.9,295,24215.227096
-339.5,341,24235.45779
-77.2,281,24252.565797
-283.1,360,24274.76078
-37.3,293,24291.879112
-112.2,360,24312.389882
-21.0,298,24330.751692
-170.5,321,24349.113304
-86.5,296,24366.498186
-222.5,283,24383.583719
-103.3,277,24401.035709
-23.2,333,24419.826939
-237.7,348,24441.487887
-135.6,316,24459.59496
-224.2,405,24483.046891
-224.0,305,24501.334757
-336.8,380,24525.366668
-162.4,328,24542.65074
-209.8,329,24561.085217
-477.1,490,24592.325656
7.1,307,24610.045685
-86.2,281,24626.969286
-584.6,379,24649.930173
-250.3,353,24669.661489
-34.7,291,24686.420582
-162.6,298,24704.065489
-428.3,416,24731.883375
-130.5,326,24751.289312
-29.8,295,24769.588578
-263.4,336,24789.773305
-56.6,258,24806.480203
-192.2,341,24825.636328
-236.3,302,24843.673748
-112.0,294,24861.046025
11.1,291,24878.547193
-183.7,409,24903.480283
-410.2,429,24929.190461
-98.9,294,24946.704459
-54.5,297,24964.094468
-319.5,291,24982.775793
-121.2,291,24999.902479
-271.2,306,25017.941468
-243.6,354,25040.81059
-343.1,387,25065.093363
-140.7,299,25083.845361
-15.7,317,25102.379719
-223.6,349,25122.851391
2.1,273,25139.386811
-130.3,285,25157.425494
-445.9,383,25180.881633
-353.1,342,25200.554598
26.3,277,25217.762292
-219.4,356,25237.867677
-194.2,329,25259.55686
-102.6,320,25278.632252
-9.0,339,25297.740418
-296.9,330,25319.345476
-301.2,336,25338.940492
-214.7,337,25358.400392
-264.4,340,25379.723252
-421.9,413,25403.913205
-554.1,444,25429.087463
-197.0,290,25446.794548
7.1,268,25463.33674
-198.4,279,25480.822221
-253.1,397,25504.689231
-200.3,327,25524.043263
-76.8,368,25547.07025
-60.8,318,25565.716249
-268.8,323,25585.93535
-154.3,389,25609.364916
-196.7,300,25627.032386
-294.9,424,25652.651423
-102.4,253,25670.498125
-74.8,317,25689.636122
-266.8,298,25710.736598
-413.8,379,25735.581121
-110.5,333,25755.348004
-177.5,290,25773.38309
-380.9,380,25797.232112
-119.9,312,25816.026013
-270.7,372,25837.411518
-44.5,253,25854.383066
25.8,304,25871.722466
-282.1,378,25894.936044
-303.2,374,25916.41398
-43.9,286,25933.498916
-43.7,301,25950.658984
-45.3,258,25966.998978
-58.6,302,25985.106241
-40.3,285,26002.547094
-347.3,351,26023.169049
-161.8,292,26040.524956
-58.6,265,26056.972957
-32.5,318,26075.686074
-91.9,286,26093.231917
-362.7,393,26117.85024
-100.2,341,26136.90859
-20.4,255,26153.605002
-12.4,276,26171.898301
-40.6,307,26190.118747
-125.4,319,26209.264488
-120.6,334,26228.44371
-35.0,299,26246.248679
-414.9,369,26270.334322
-496.7,331,26290.27855
-360.3,335,26312.943494
-91.2,318,26331.707094
-5.4,299,26349.96106
-28.1,291,26367.99832
-57.5,295,26385.647421
-94.8,358,26405.839303
0.6,285,26423.473563
-102.8,281,26441.053218
-495.9,335,26461.3626
-227.5,319,26480.204403
-93.5,326,26501.266267
-297.2,354,26521.638056
-262.3,345,26542.914082
-134.6,314,26561.301588
-136.7,332,26580.722674
-91.5,303,26598.939277
-26.3,261,26617.463361
-27.7,305,26636.751538
-129.9,393,26660.811662
-284.0,350,26681.524722
-106.8,249,26697.752109
-197.8,329,26716.98278
-72.0,290,26735.123452
-321.7,324,26754.621622
-552.1,447,26783.796727
-223.7,408,26808.933823
-94.4,328,26827.445989
-10.2,269,26845.104874
-114.7,299,26863.381576
-147.0,422,26888.237648
-63.1,313,26906.471585
-118.6,290,26924.152568
-279.5,398,26949.322726
-24.1,285,26966.382517
-131.4,316,26985.901535
-451.7,424,27012.196463
-173.9,292,27030.048486
-0.5,264,27046.329508
-219.7,325,27065.65007
-239.1,275,27083.586557
-121.7,303,27101.941743
-208.2,295,27119.564737
-49.7,315,27137.791531
-390.2,358,27159.419621
-357.0,324,27181.369443
-4.9,297,27199.366672
-78.5,327,27218.621426
-71.8,283,27236.072462
-174.7,339,27255.152463
-279.9,352,27277.963368
-91.7,334,27297.402431
-31.1,268,27313.98033
-140.1,297,27333.721969
-26.0,316,27352.984202
-198.5,339,27372.570351
-419.5,355,27395.424455
-143.5,330,27415.820393
-445.2,357,27439.262383
-94.3,344,27459.350349
-33.6,291,27477.296085
0.3,294,27494.844254
-103.1,284,27513.317307
-176.8,277,27529.806287
-396.4,345,27552.485995
-151.6,304,27570.50024
-60.9,265,27586.733171
-189.4,340,27606.801238
-42.4,314,27625.254228
-303.2,364,27649.03823
-282.4,354,27669.256323
26.1,248,27685.920187
-241.1,334,27704.595267
-89.8,307,27722.954322
-10.6,306,27741.107193
-95.8,288,27759.408859
-160.1,273,27776.784411
-174.0,333,27795.895988
-479.7,337,27817.868268
-2.2,304,27836.459145
-75.6,308,27854.507156
-347.6,423,27880.565238
-268.0,295,27899.006171
-343.8,417,27924.583839
-252.6,356,27947.057432
-17.6,300,27964.784067
-74.2,301,27983.453059
-425.6,446,28010.735591
-141.6,271,28028.336117
-540.2,394,28053.835029
-311.7,418,28079.243187
-486.8,388,28102.841653
-462.3,398,28127.867991
-219.5,314,28146.227009
-47.8,269,28163.888969
-122.5,293,28180.224425
-177.3,314,28201.677423
-90.1,321,28220.464468
-178.3,328,28240.238876
-185.5,359,28263.279989
-1.4,290,28281.052924
-412.6,395,28306.694061
-174.9,355,28327.722564
-397.2,417,28353.247998
-92.7,309,28372.292544
-352.8,361,28396.253718
-128.2,277,28413.311165
-33.2,285,28432.391958
-586.8,313,28452.894855
-31.5,290,28470.619842
-457.7,394,28494.497919
-103.6,307,28513.043521
-337.1,346,28534.090797
-257.4,383,28557.503809
-141.5,277,28574.539814
-190.9,312,28593.649771
-237.3,388,28617.761779
-106.5,289,28635.374002
-41.5,302,28654.245834
-293.6,292,28673.164726
-320.4,407,28698.217802
-213.2,342,28718.842775
-399.6,356,28742.407137
-9.4,314,28760.478753
-78.9,283,28777.929748
-222.2,324,28797.307652
-256.1,375,28820.929744
-149.3,332,28841.16776
-127.1,319,28860.196717
-32.2,268,28877.705669
-139.9,318,28897.076736
-99.9,264,28914.229841
-163.1,326,28934.083639
-14.3,285,28951.04157
-101.7,314,28970.43266
-231.8,377,28994.720213
-39.5,306,29013.113696
-80.0,301,29032.234587
-91.4,312,29051.589571
-152.6,339,29071.27457
-60.2,254,29087.54662
-260.5,329,29106.581567
-259.4,338,29126.958529
-163.4,277,29145.048589
-164.1,339,29167.868533
9.5,327,29186.363566
-96.2,305,29204.571494
-474.3,462,29232.423482
-310.3,386,29257.348571
-212.8,329,29278.709545
-182.3,342,29298.751448
-48.4,256,29316.51148
-481.4,406,29343.098449
-191.3,309,29365.67351
-85.7,300,29384.851442
-1.6,295,29403.21544
-189.8,332,29423.719085
-67.7,279,29441.435465
-98.8,312,29460.567444
23.5,268,29478.035456
-434.7,402,29503.62021
-99.6,363,29523.812343
-270.7,330,29545.446431
-30.4,304,29563.248564
-54.3,302,29581.810374
-47.8,306,29600.373331
-174.9,328,29619.587296
-412.0,356,29640.541519
-198.7,314,29661.838687
-247.0,334,29681.826268
-41.8,267,29698.938515
-240.1,310,29717.79947
-249.7,299,29736.982032
-371.7,381,29761.406063
-216.4,334,29781.928147
4.6,271,29799.123214
-51.1,302,29818.237109
-33.0,299,29836.985253
-16.6,305,29856.033284
-318.6,361,29877.449214
-426.3,373,29902.381142
-123.5,328,29922.251932
-240.3,354,29944.581412
-102.7,287,29962.596231
-109.6,290,29981.074761
-103.1,306,29999.201218
-99.9,309,30018.598303
-46.1,311,30037.704057
-65.3,280,30056.421896
-24.2,301,30075.395499
-227.3,311,30095.109181
-62.3,285,30112.896374
-31.2,323,30132.470143
-180.6,326,30151.828906
-259.3,340,30175.028399
-71.8,316,30193.363667
-324.4,387,30218.013164
-227.1,308,30237.055154
-50.9,314,30256.776105
-46.9,264,30273.372037
4.5,246,30290.470768
-235.0,310,30309.654317
1.4,263,30326.373833
-40.7,295,30344.427128
-158.0,307,30363.830194
-142.0,372,30384.620993
-73.1,279,30402.063589
-31.9,289,30419.525119
-322.7,298,30437.859531
-406.1,299,30456.927101
13.1,261,30474.570154
-115.0,297,30493.686054
-219.1,340,30512.885985
17.2,287,30530.71991
-386.0,341,30552.028291
-56.1,232,30568.729887
-427.6,399,30596.112169
-6.7,299,30614.950953
-51.7,302,30633.454427
-6.1,313,30652.756893
-14.0,289,30671.616365
-300.4,400,30697.673522
-264.7,360,30719.528334
-258.1,333,30742.622996
-191.1,341,30762.670832
-183.1,300,30781.753942
-448.3,369,30805.214171
-121.5,286,30821.580454
-25.1,249,30837.958903
-73.3,271,30855.432046
-36.4,312,30874.564519
-186.2,306,30893.783579
-42.5,271,30911.111861
-257.2,314,30931.198125
-252.3,332,30951.377357
-612.3,351,30975.212901
-597.8,402,31000.91356
-44.8,305,31020.027481
-244.3,346,31041.192013
15.5,262,31058.200395
-59.7,294,31076.444771
-38.6,299,31095.742975
-255.5,318,31114.813089
-235.4,282,31133.884026
-257.1,311,31153.272728
-169.4,318,31173.460397
-84.0,275,31191.907666
-543.8,392,31218.076743
-78.5,307,31237.066323
-278.3,333,31256.561716
-9.3,266,31273.780266
-47.8,291,31292.848264
-108.7,315,31312.22626
-88.7,306,31330.864824
-300.5,325,31350.898721
-454.1,351,31374.726776
-294.3,311,31395.077095
-422.4,424,31422.1726
-398.3,308,31441.585167
-82.2,290,31459.879114
21.0,276,31477.701735
-207.6,291,31496.75401
-148.3,323,31516.796378
-28.4,298,31534.813685
-294.0,354,31556.113037
-94.1,284,31574.523101
-106.9,276,31592.524672
14.0,274,31610.847933
-52.5,293,31629.29325
-49.3,301,31648.158576
-56.7,316,31666.892928
-62.8,303,31685.733782
-326.9,296,31704.757495
-85.2,293,31723.259835
-474.7,393,31748.534662
-68.2,333,31769.388618
-58.4,289,31787.233928
-294.2,299,31806.295278
-187.0,294,31825.368596
-162.0,300,31843.468856
-37.7,318,31863.215278
-484.8,373,31887.26452
-142.3,294,31906.999218
-59.6,313,31926.261318
-330.3,327,31946.896614
-74.8,270,31964.48889
-20.1,287,31983.403112
-172.4,304,32002.472507
-103.1,304,32021.542907
-550.5,391,32047.304546
-299.6,321,32067.68584
5.3,247,32084.201951
-139.9,275,32102.234281
-3.8,261,32120.231926
-90.2,329,32139.530076
-205.9,285,32158.692222
-24.0,292,32177.293112
-58.5,291,32196.31987
-85.2,312,32216.210191
-244.6,329,32236.436524
-277.6,323,32255.738794
-399.6,353,32279.425252
-145.1,283,32298.478527
-25.2,330,32319.061913
-189.7,285,32336.737196
-94.0,293,32354.184727
-145.8,299,32372.62481
-68.5,294,32392.559131
-123.4,289,32409.100413
-357.2,318,32431.302879
-57.5,301,32450.043888
-220.9,334,32471.086486
-201.6,291,32489.930804
-71.8,290,32508.317096
-127.7,318,32528.481457
-290.5,325,32548.563767
11.9,244,32565.306009
-243.9,315,32585.54369
-240.2,331,32605.72069
-40.4,270,32622.798152
-0.8,278,32640.619259
-70.7,294,32660.276691
-452.4,423,32687.724123
-72.1,304,32706.903371
7.8,279,32724.989753
-118.7,311,32744.191769
-8.1,283,32762.878722
-297.2,301,32783.02452
-244.0,347,32803.398598
-39.1,258,32820.939259
-104.9,296,32839.982711
-455.9,402,32866.407989
-84.0,301,32885.068417
-3.5,293,32902.011662
-130.8,281,32920.201334
-174.0,257,32937.365432
-249.0,322,32958.058681
-169.0,264,32975.386029
-88.9,257,32992.405507
-413.8,377,33017.248684
-431.1,320,33037.919039
-426.6,353,33061.416376
-111.2,287,33079.120652
-41.5,293,33097.158953
-21.6,307,33116.6763
-190.2,301,33135.224017
-257.8,305,33154.421936
-67.1,289,33172.639278
-22.7,298,33191.51757
-131.1,315,33211.593963
-13.4,268,33228.24324
-613.6,332,33251.413637
-28.9,312,33270.500887
-135.4,311,33289.952461
-655.6,461,33321.287519
-37.8,292,33339.604105
-100.5,306,33358.241535
-44.8,302,33377.343182
-85.1,300,33397.155064
-236.0,365,33417.598197
-19.9,251,33435.836654
-491.6,425,33461.979355
-479.0,364,33486.067477
-84.4,337,33506.077778
-5.1,255,33523.565384
-69.9,301,33543.197789
-400.7,420,33570.453981
-112.1,289,33589.180597
-116.6,297,33607.943214
-397.7,337,33628.974908
-141.6,269,33647.363348
-354.5,345,33669.007544
-372.7,339,33692.062959
-15.9,299,33710.947256
-331.0,311,33731.352434
-14.7,281,33747.788942
-33.9,241,33764.292765
-234.0,309,33784.126439
-171.6,279,33802.430086
-285.2,340,33824.253892
-3.8,264,33841.243944
-233.6,288,33860.16009
-13.4,288,33878.575983
-255.3,290,33897.930046
-494.9,333,33922.296129
-61.6,299,33941.439127
-23.7,296,33959.626218
-0.5,304,33979.111456
-168.3,280,33998.307302
-109.3,301,34018.062279
-124.2,311,34037.604346
-111.0,313,34058.005296
-150.5,295,34076.784817
-421.2,285,34096.122495
-236.5,350,34117.512554
-88.6,274,34134.969815
-623.8,392,34159.92055
-481.6,343,34181.211666
-16.6,277,34198.886657
-247.5,273,34216.98077
-367.6,313,34236.485845
-226.1,287,34255.26833
-58.8,300,34273.567349
-132.9,303,34293.450902
-95.3,289,34312.020314
-269.2,316,34332.151017
-30.9,277,34349.566025
-268.2,339,34370.116113
-141.4,280,34387.834119
-117.4,297,34406.881134
-28.9,288,34424.406174
-97.7,300,34443.445175
0.1,293,34462.500236
-110.9,326,34482.577552
-272.5,326,34502.898404
-74.3,266,34520.339397
-192.6,285,34539.017434
-547.3,402,34565.423542
-559.3,429,34593.4459
-283.1,285,34611.656874
-161.2,330,34632.249714
-229.1,301,34651.654101
-468.8,282,34671.086787
-241.8,302,34690.21675
44.8,272,34708.477919
-188.8,315,34728.749162
-321.9,303,34749.199858
-80.9,280,34767.40134
-283.3,313,34787.871008
-321.1,290,34808.247067
-274.8,343,34830.493848
-416.2,350,34854.019925
-370.0,407,34880.256019
-129.1,296,34900.220339
-96.7,313,34920.027312
-140.2,307,34939.683728
-295.3,302,34960.047625
-172.7,318,34980.520815
-59.2,282,34999.144728
-202.0,312,35018.884219
-80.1,299,35038.07059
2.6,277,35056.098207
-195.9,296,35075.155579
-499.1,399,35102.747673
-114.7,297,35122.643084
-148.3,303,35142.205491
-129.7,341,35163.010692
-43.6,261,35180.982074
-33.6,291,35200.033219
-69.4,307,35219.074873
-33.2,290,35235.417831
23.6,267,35253.013268
15.6,247,35269.48422
-205.2,288,35288.790033
-188.2,304,35308.71605
-261.8,300,35328.7783
-184.1,311,35348.807925
-318.2,293,35371.061227
-65.0,240,35387.534101
-231.7,230,35403.925429
-139.6,266,35421.993119
-485.8,366,35447.175215
-156.1,309,35466.239489
-22.7,296,35485.337904
-249.6,287,35504.511577
-183.8,302,35523.929135
-569.4,402,35549.665493
-175.0,301,35569.873438
-73.2,297,35588.966125
-240.5,296,35608.896224
-117.5,306,35629.077248
-67.5,301,35648.895009
-417.5,312,35670.337375
-100.9,270,35686.618303
-431.9,317,35709.653154
10.4,245,35726.115041
-111.4,256,35743.099896
-98.2,293,35762.330085
-90.2,283,35778.872033
-47.0,243,35796.398033
-99.9,275,35815.978631
-53.0,319,35835.401407
-69.4,291,35855.712261
-188.3,290,35875.235192
-71.9,284,35892.04352
-173.6,248,35909.913307
-98.5,307,35929.275009
-162.5,276,35947.569558
-138.5,302,35966.636595
-58.4,287,35985.492578
-349.7,319,36005.777291
-203.3,285,36024.864846
-23.6,291,36044.001441
-110.2,303,36063.77124
-312.5,299,36084.187889
-109.8,302,36102.972485
-267.9,317,36123.736317
-144.4,314,36143.566647
-57.9,276,36162.160685
-190.3,289,36181.633454
-250.5,304,36202.299595
-104.0,300,36221.820806
-355.2,298,36242.025308
-71.2,310,36262.461751
-380.4,330,36284.058919
-6.3,267,36301.159842
-287.7,313,36321.242135
-235.2,286,36340.597685
-498.3,354,36363.028344
-329.9,323,36384.053402
-50.6,268,36401.439202
-286.9,316,36421.738123
-26.5,236,36438.237597
-258.1,329,36458.291549
-368.4,340,36479.964788
-355.1,315,36500.251229
-790.9,428,36531.35928
-444.4,339,36553.388772
-138.8,277,36571.882417
-414.3,289,36591.000363
-115.2,303,36610.483606
-156.9,266,36627.19091
-488.6,330,36651.614713
-61.0,279,36671.139739
-33.8,272,36687.602804
-613.9,355,36713.026102
-134.4,298,36732.272993
-188.4,302,36750.932771
-13.4,282,36769.248779
-125.0,305,36789.024101
-362.2,269,36805.33111
-375.9,317,36827.174241
-5.1,286,36843.922017
-171.6,319,36866.896081
-12.1,297,36885.600464
-10.9,307,36904.980548
-125.3,291,36924.875642
-63.6,290,36942.267672
1.7,230,36958.858629
-131.5,280,36978.986822
-3.1,266,36995.389638
-190.9,317,37015.580768
6.8,237,37032.246739
-1.8,281,37051.494779
-117.5,308,37071.693103
-20.2,306,37090.981903
-16.5,309,37110.120873
-440.7,347,37132.721495
-460.5,345,37156.579024
-182.7,293,37176.207139
14.1,274,37192.549103
-493.9,330,37215.652485
-195.5,320,37236.44615
6.5,275,37254.862408
-193.2,299,37275.005298
-65.8,293,37294.249335
-7.3,274,37311.016152
-115.6,266,37328.713508
-19.5,270,37346.991415
-186.0,293,37367.068434
-405.6,327,37387.948541
-2.7,275,37405.639568
-112.0,301,37425.271541
-201.8,295,37445.019243
-439.1,344,37466.753187
-3.7,268,37485.169062
-189.7,289,37504.515155
-50.6,295,37522.155154
-273.8,257,37540.857288
-444.3,269,37559.953323
-140.9,288,37577.959143
-584.6,378,37602.241783
-650.9,325,37626.607316
-301.4,305,37646.018141
-507.0,382,37671.002536
-266.6,310,37691.415793
-353.0,350,37712.69515
24.3,258,37731.243381
-12.6,301,37750.36224
-207.1,314,37771.202446
-532.6,365,37794.62242
7.7,272,37812.893096
-1037.0,433,37844.284075
-121.6,298,37864.573159
-40.9,299,37883.912383
6.9,299,37903.192524
-180.7,303,37923.135694
-195.5,297,37942.434249
-214.3,300,37961.987841
-188.0,304,37981.815013
-233.6,275,37998.070084
-829.3,432,38027.811118
-220.0,298,38047.691139
-279.9,340,38069.039847
-5.0,266,38086.864294
-38.7,258,38103.258301
-180.7,254,38120.591968
-145.2,278,38139.012354
-388.8,324,38160.634591
-416.5,328,38181.828893
-117.9,283,38199.702541
-48.8,265,38217.551323
-151.9,295,38236.607124
-89.2,285,38254.105654
-141.3,264,38271.476762
-256.3,288,38290.725252
-615.7,365,38316.535475
-367.3,304,38336.615417
6.5,269,38352.940982
-384.9,278,38371.989357
-147.6,267,38389.235717
-39.9,285,38407.909493
-276.6,338,38429.904323
-191.6,259,38450.629167
-98.2,300,38469.739416
-248.4,298,38490.758121
-279.6,306,38511.113124
-176.8,307,38531.010126
-238.4,303,38551.956113
-657.4,384,38578.341164
-151.0,305,38598.432432
-450.3,397,38624.814342
-308.3,331,38646.789099
25.3,279,38665.875123
-46.3,302,38686.047083
-146.9,288,38704.354152
-569.7,419,38732.11609
-185.7,291,38751.815116
-97.2,295,38771.757132
-23.8,297,38791.451027
-73.8,297,38811.60504
-121.0,263,38827.955096
-450.9,338,38852.216038
13.9,270,38868.734002
-9.4,236,38885.118
-89.6,292,38904.771995
21.7,259,38921.465994
4.3,245,38938.541796
-164.2,276,38954.860936
-786.2,367,38981.140039
-270.4,266,38999.331179
-1.1,267,39015.953535
-570.2,320,39039.147016
-99.9,300,39058.816032
-168.7,308,39079.493163
-136.4,291,39097.574015
-554.3,314,39120.610931
-41.0,287,39140.074164
-55.4,290,39157.383986
-514.3,353,39182.726947
-87.9,275,39201.875915
5.5,261,39218.426928
-154.5,280,39237.943011
-463.8,352,39263.13328
-30.1,301,39282.775075
-33.5,288,39301.854012
-354.0,330,39323.128844
-56.8,271,39343.355856
-81.7,246,39360.322903
-8.1,270,39379.235875
-274.5,309,39399.696835
-10.3,277,39419.234929
-296.9,297,39438.389813
-155.1,304,39458.554855
-61.7,267,39474.837725
-1.5,240,39491.31785
-299.6,325,39511.619824
-333.6,410,39538.25683
-54.7,266,39556.363798
-226.8,280,39573.190784
-75.7,273,39592.296181
-119.7,257,39609.821246
-568.5,341,39630.895823
-498.7,350,39655.652885
-331.5,339,39676.711811
1.0,258,39693.849698
-296.6,290,39714.718729
-399.9,325,39736.303748
16.8,276,39755.26275
-287.1,311,39776.306723
-231.5,309,39796.81768
-167.9,301,39816.102919
-481.7,308,39837.787689
-197.2,317,39858.943033
-63.1,260,39877.90068
-226.6,298,39897.844856
5.3,286,39914.468582
-106.4,260,39931.768915
-189.0,267,39950.294958
-144.2,288,39970.070265
-46.8,296,39989.365685
-143.5,275,40005.867618
-573.1,341,40030.219416
-73.6,307,40050.089669
-289.5,305,40070.50969
-250.4,288,40089.88155
-261.9,272,40106.549638
-489.2,320,40130.63059
-217.9,296,40150.561939
-28.4,304,40169.987247
-237.3,291,40190.546233
-475.9,417,40218.814583
-261.9,282,40237.780472
-377.8,293,40257.894418
-250.9,278,40277.123564
-151.4,264,40296.167549
-9.2,277,40314.157485
-183.7,288,40334.24151
-203.2,301,40354.441586
-160.8,300,40374.508522
-189.2,315,40394.884515
-277.9,290,40414.76847
-94.6,302,40434.209533
-367.6,334,40455.826419
-43.3,275,40474.864542
-88.0,285,40494.261528
-198.2,298,40514.206434
-163.7,312,40534.501481
-102.8,311,40554.878445
-128.9,282,40574.596104
-87.8,303,40594.38748
-522.8,321,40615.623461
-236.5,309,40635.956406
-8.5,282,40655.353465
-659.0,380,40683.26842
-46.7,269,40699.93137
-98.3,243,40717.965416
-478.0,404,40745.36941
-136.6,285,40765.398737
-313.4,298,40783.076337
-35.8,230,40799.650319
-327.0,293,40819.46632
-252.5,308,40840.365428
-44.2,275,40859.442399
-338.2,297,40880.018325
-179.1,298,40900.173367
-194.6,305,40920.530282
-84.2,309,40940.398123
-46.7,287,40960.44227
-271.9,308,40981.738295
-437.3,309,41002.576301
-212.5,317,41024.092292
-272.3,266,41043.166382
-263.7,364,41066.496264
-201.3,251,41085.079278
-32.6,285,41105.157286
-344.3,302,41125.052412
-302.7,297,41145.751362
-323.9,296,41166.056306
-463.8,308,41190.164295
-232.7,296,41210.215006
-239.5,307,41231.317897
-145.6,296,41251.371237
-122.9,299,41271.200031
-296.0,301,41292.314705
-295.9,328,41314.152907
3.6,277,41332.812912
-141.7,294,41353.189874
-104.5,298,41373.111611
-319.3,309,41393.404954
-512.0,292,41414.359331
-168.7,306,41435.00611
-263.4,314,41455.392986
-98.6,275,41472.593482
-287.7,248,41490.290738
-16.3,261,41508.953109
-263.9,301,41529.253921
-197.7,261,41545.72492
-365.1,288,41564.932322
-274.7,281,41584.295218
-249.0,268,41603.662585
-145.3,304,41624.285231
-323.7,334,41646.462703
-297.6,265,41665.627878
-143.6,282,41682.076783
-266.6,313,41705.076144
-514.6,354,41728.155078
-267.6,298,41748.445451
-124.0,272,41767.487887
-274.4,277,41786.756961
-258.9,297,41807.263739
-179.4,309,41828.105105
-17.1,300,41847.777576
-275.2,335,41868.827052
-22.0,269,41887.891183
-391.0,298,41908.241045
-328.3,291,41928.734015
-348.2,326,41950.184976
-114.1,291,41970.287984
-33.4,283,41989.693885
-766.0,402,42018.124954
-477.0,388,42041.869913
-806.1,402,42071.910933
-479.2,332,42096.52389
-22.6,274,42115.651899
-75.5,266,42132.150958
-767.4,359,42157.856846
-309.3,297,42177.727865
-107.2,290,42197.370873
-378.9,295,42218.545464
-173.7,299,42238.626853
-226.3,307,42258.658786
-49.6,427,42289.139812
-34.2,454,42321.242898
-446.8,303,42342.278836
-187.2,304,42364.348808
-585.6,359,42388.655717
-365.7,268,42407.988238
-151.0,275,42427.470785
-690.5,398,42456.328826
-120.6,332,42478.054776
-48.2,264,42494.316758
-332.5,242,42512.402773
1.3,263,42531.002805
0.1,278,42547.645076
-721.2,344,42572.567747
-204.1,317,42594.008809
15.2,266,42612.139716
-206.6,296,42631.732713
-205.9,298,42651.98172
-228.4,301,42672.401721
-389.1,311,42693.863687
-423.7,286,42711.915674
-100.1,238,42729.324728
-678.8,363,42755.406743
-91.3,305,42776.042667
-288.8,305,42796.902643
-105.5,293,42816.082528
27.5,265,42832.429629
-88.9,239,42849.896616
-256.8,299,42871.153363
-220.5,295,42891.20961
-151.3,299,42911.656549
-416.6,305,42931.921499
-234.4,305,42953.157639
-101.8,290,42974.525824
28.6,252,42990.9876
-124.9,260,43009.269604
-214.4,274,43026.549606
-4.4,280,43045.669997
-750.5,354,43071.412814
-128.6,278,43087.946155
-118.6,241,43104.993946
-332.2,267,43124.207367
-387.8,294,43145.24144
-176.5,324,43166.715497
-264.7,303,43186.909502
-152.6,277,43206.194842
-138.6,303,43226.697517
-165.3,293,43247.232111
-118.1,302,43267.546421
-309.7,318,43289.577469
-104.4,285,43308.69147
-222.1,309,43329.303502
-172.7,286,43348.470482
-172.7,304,43368.272649
-780.2,394,43394.360476
-740.8,303,43417.831486
-284.8,300,43438.835439
-956.7,390,43465.023057
-872.0,420,43497.062503
-96.7,291,43516.7324
-652.4,398,43545.475397
-235.8,293,43563.882334
-41.5,245,43581.656365
-278.3,263,43600.395287
-5.3,256,43617.196319
-33.8,261,43635.727339
-127.6,285,43655.430339
-168.1,305,43676.270469
-16.7,307,43695.722491
-498.1,316,43717.61754
19.2,269,43736.177165
-24.6,259,43753.645343
-66.5,260,43772.663351
-381.4,310,43794.556487
-78.4,271,43813.719222
-348.3,337,43836.429288
-82.7,275,43855.536777
-613.9,362,43880.812236
-153.4,231,43898.899123
-45.3,271,43915.784287
-10.7,243,43933.23232
-137.3,285,43953.73521
-39.0,298,43973.072021
-68.3,258,43989.675042
-569.5,341,44014.748832
-304.2,305,44035.681181
-174.7,298,44056.796315
-127.1,296,44076.718862
-457.9,304,44097.64084
-185.1,298,44117.260825
-207.0,254,44133.535045
-90.7,256,44152.30538
-227.7,309,44172.921141
-95.7,285,44192.685802
-180.3,296,44212.456819
3.3,275,44229.053716
24.8,227,44245.71581
-425.4,295,44265.769156
-68.9,236,44283.019129
-5.7,272,44301.435119
-773.3,393,44329.391628
-141.7,301,44350.007206
-219.0,302,44370.788143
11.3,254,44387.487109
-856.7,467,44422.580957
-81.5,277,44442.390082
-432.0,303,44463.890046
-197.7,296,44483.737045
-423.2,329,44505.197065
-62.7,287,44524.877082
-96.2,277,44542.484166
5.5,244,44559.797143
-137.6,270,44579.472094
-454.2,371,44603.570591
-72.5,264,44621.66712
-152.6,267,44641.110641
-233.0,291,44660.814131
